regime,permutations,trial,rmse,max_error,top1,unique_coalitions,coalition_fraction,hoeffding_radius
uniform,4,79,0.02576565218876829,0.046466412781929894,False,14,0.21875,1.6553910298388703
uniform,4,80,0.015678218802932825,0.02831508957964205,False,18,0.28125,1.6553910298388703
uniform,4,81,0.019116516267880447,0.039994874500549935,True,15,0.234375,1.6553910298388703
uniform,4,82,0.005211784293715904,0.00895165024368847,False,20,0.3125,1.6553910298388703
uniform,4,83,0.017065668470545484,0.03234426621494765,True,17,0.265625,1.6553910298388703
uniform,4,84,0.009680282886243875,0.01636351121010251,False,21,0.328125,1.6553910298388703
uniform,4,85,0.016000525941565435,0.03011730358748984,True,20,0.3125,1.6553910298388703
uniform,4,86,0.010279654737285064,0.020515205297935928,False,20,0.3125,1.6553910298388703
uniform,4,87,0.02268721877607876,0.042395607446037584,False,19,0.296875,1.6553910298388703
uniform,4,88,0.004301427967293161,0.008995192775201737,True,20,0.3125,1.6553910298388703
uniform,4,89,0.008366937506524001,0.015895443989187713,False,20,0.3125,1.6553910298388703
uniform,4,90,0.00828326326634249,0.016931392312840753,False,17,0.265625,1.6553910298388703
uniform,4,91,0.00650779292912711,0.012035858321455248,False,18,0.28125,1.6553910298388703
uniform,4,92,0.015446695065223092,0.025781596887933522,False,21,0.328125,1.6553910298388703
uniform,4,93,0.004804642171429551,0.009216256986798984,False,17,0.265625,1.6553910298388703
uniform,4,94,0.015570644174292254,0.0315430729028121,True,16,0.25,1.6553910298388703
uniform,4,95,0.008326841515905976,0.014906426005060756,False,20,0.3125,1.6553910298388703
uniform,4,96,0.010204614918618753,0.017747210810881073,True,18,0.28125,1.6553910298388703
uniform,4,97,0.00987668961504699,0.02078567411875408,False,18,0.28125,1.6553910298388703
uniform,4,98,0.010800591007222237,0.021460580247990826,True,19,0.296875,1.6553910298388703
